readiness_item,current_status,passed,blocking,severity,threshold,actual_value,blocker_type,dependency,remediation_action,prerequisite_task,estimated_path,can_be_resolved_by_network,can_be_resolved_by_index_update,can_be_resolved_by_manual_mapping,can_be_resolved_by_schema_fix,notes
usable_benchmark_count,passed,True,False,info,> 0 schema-valid benchmark cache,6,benchmark_dependency,index_map + index_data_coverage + data/index_cache,do not enter 007B until at least one confirmed benchmark has a schema-valid index cache,diagnose-index-source -> update-index-data -> compute-etf-metrics,network-enabled index update must produce usable_benchmark_count > 0,False,True,False,False,"counted directly from index_data_coverage rows where usable_as_benchmark, schema_valid, and fetch_success are true; qa_report is fallback only when coverage is missing"
index_cache_exists,passed,True,False,info,> 0 confirmed index cache files,6/9,index_cache_missing,data/index_cache/{index_code}.csv,create real index cache via update-index-data; do not write placeholder cache,run update-index-data only after source diagnostics pass,confirmed index code has data/index_cache/{index_code}.csv,False,True,False,False,missing cache blocks benchmark-relative metrics
index_cache_schema_valid,passed,True,False,info,> 0 schema-valid confirmed index cache files,6/9,schema_invalid,data/index_cache + data/schema.py,validate required OHLCV/index columns before ETF metrics consume the cache,fix schema or rerun update-index-data with normalized index output,validate_index_cache_frame passes for at least one confirmed benchmark,False,True,False,True,"schema-valid means required columns, parseable dates, numeric OHLCV, and matching index_code"
index_data_fetch_success,passed,True,False,info,> 0 successful index fetch or existing valid cache,8,source_fetch_failed,index_data_coverage.csv + index_source_diagnostics.csv,rerun source diagnostics in network/proxy-enabled environment before updating index cache,diagnose-index-source,at least one trusted source fetches schema-valid index data,False,True,False,False,fetch success alone is not enough; it must lead to real schema-valid cache
benchmark_mapping_confidence,passed,True,False,warning,"config_manual or metadata_exact, confidence >= 0.80, no manual review",hard_mapping=9; inferred_or_unconfirmed=41,mapping_unconfirmed,index_map.csv,use only confirmed benchmark mappings as hard 007B benchmarks,manual mapping or trusted metadata confirmation,name_inferred and unable_to_confirm remain non-hard mappings,False,False,True,False,name_inferred/unable_to_confirm must not unlock tracking error or relative return
etf_to_benchmark_mapping_available,passed,True,False,info,> 0 confirmed ETF to benchmark mapping,9,manual_mapping,index_map.csv,confirm ETF-to-index mapping before any benchmark-relative calculation,"update config/index_map.yaml or trusted metadata source, then rerun update-index-data",confirmed mapping exists before cache or metrics are considered,False,False,True,False,mapping availability is necessary but not sufficient without real index cache
overlap_days_available,passed,True,False,info,> 0 ETF rows with real benchmark overlap,6,insufficient_overlap,etf_metrics.csv,compute ETF metrics only after ETF cache and schema-valid benchmark cache overlap,compute-etf-metrics after index cache is valid,benchmark_available=True for at least one ETF with sufficient overlap,False,True,False,False,do not infer overlap from ETF returns alone
tracking_error_computable_count,passed,True,False,info,> 0,6,metric_unavailable,etf_metrics_coverage.csv,tracking_error remains forbidden until real benchmark-relative metric coverage is positive,schema-valid index cache -> compute-etf-metrics,tracking_error computable_count > 0,False,True,False,False,do not calculate real tracking_error in this precheck
relative_return_computable_count,passed,True,False,info,> 0,6,metric_unavailable,etf_metrics_coverage.csv,relative_return remains forbidden until real benchmark-relative metric coverage is positive,schema-valid index cache -> compute-etf-metrics,any relative_return window computable_count > 0,False,True,False,False,do not calculate real relative_return in this precheck
index_source_network_available,passed,True,False,info,no network/proxy blocker when no valid cache exists,network_failures=19,source_network,index_source_diagnostics.csv,run diagnose-index-source in a network/proxy-enabled environment,fix proxy/network path before update-index-data,source diagnostics show at least one usable source before cache update,False,False,False,False,network/proxy failures must not be bypassed with synthetic cache
eastmoney_proxy_failure,passed,True,False,info,EastMoney failures resolved or alternate valid cache exists,18,source_network,EastMoney-backed index source candidates,fix EastMoney proxy/network path or use another source that produces schema-valid cache,diagnose-index-source,update-index-data succeeds without relying on failed proxy path,True,True,False,False,"EastMoney failures are source blockers, not permission to fake a benchmark"
csindex_available,passed,True,False,info,CSIndex candidate usable as source when it fetches schema-valid rows,12,benchmark_dependency,CSIndex source diagnostics,prefer CSIndex only when diagnostics and update-index-data produce schema-valid cache,diagnose-index-source -> update-index-data,CSIndex source success must materialize into data/index_cache,False,True,False,False,source candidate availability does not by itself unlock 007B
no_fake_benchmark_guard,passed,True,False,info,0 violations,0,fake_benchmark_guard,index_map + etf_metrics + data/index_cache,stop any benchmark-relative calculation that lacks confirmed mapping and real schema-valid index cache,replace invalid evidence with confirmed mapping and real index cache,never use ETF own price as benchmark,False,False,False,False,guard passed; ETF own prices are not treated as benchmark
partial_index_cache_missing_count,warning,False,False,warning,0 for full-scope 007B; warnings allowed for small-scope 007B,3,index_cache_missing,data/index_cache + index_data_coverage.csv,keep unavailable benchmark codes out of small-scope 007B until real schema-valid cache exists,rerun update-index-data only in a network-enabled environment; do not synthesize cache,full-scope requires every confirmed benchmark cache to validate,True,True,False,False,blocks full-scope only; small-scope may use schema-valid cached benchmarks; unavailable_codes=000688;399006;931865
missing_benchmark_count,warning,False,False,warning,0 for full-scope 007B; warnings allowed for small-scope 007B,41,mapping_unconfirmed,etf_metrics.csv + index_map.csv,do not fill fake benchmarks for ETFs without confirmed mappings,manual mapping or trusted metadata confirmation for missing benchmark rows,full-scope requires confirmed benchmark mappings for the broader ETF universe,False,False,True,False,blocks full-scope only; it does not block small-scope 007B for ETFs with confirmed benchmark metrics
discount_premium_available_count,warning,False,False,warning,> 0 for discount/premium research; not required for benchmark-only small-scope 007B,0,metric_unavailable,NAV or IOPV source,keep discount/premium disabled until NAV/IOPV source exists,separate NAV/IOPV source task,discount_premium_status == ok for at least one ETF,False,False,False,False,not a blocker for small-scope benchmark-relative 007B; price-only data cannot produce discount/premium
