tracking_index_code,tracking_index_name,index_source,api_name,source_family,fetch_success,schema_valid,start_date,end_date,row_count,latest_expected_date,end_date_gap_days,missing_required_columns,missing_values_count,duplicate_dates_count,abnormal_return_count,quality_status,usable_as_benchmark,requires_manual_review,failure_reason,notes
399006,创业板指,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,False,False,,,0,2026-05-15,0,,0,0,0,failed,False,True,"akshare.stock_zh_index_hist_csindex failed: Length mismatch: Expected axis has 0 elements, new values have 16 elements | akshare.index_zh_a_hist failed: HTTPSConnectionPool(host='80.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f3&fs=b%3AMK0010%2Cm%3A1%2Bt%3A1%2Cm%3A0+t%3A5%2Cm%3A1%2Bs%3A3%2Cm%3A0%2Bt%3A5%2Cm%3A2&fields=f3%2Cf12%2Cf13 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))) | akshare.stock_zh_index_daily_em failed: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=0.399006&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58&klt=101&fqt=0&beg=20190101&end=20260516 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))","eastmoney_failures=2; attempt_failures=akshare.stock_zh_index_hist_csindex failed: Length mismatch: Expected axis has 0 elements, new values have 16 elements | akshare.index_zh_a_hist failed: HTTPSConnectionPool(host='80.push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/clist/get?pn=1&pz=100&po=1&np=1&ut=bd1d9ddb04089700cf9c27f6f7426281&fltt=2&invt=2&fid=f3&fs=b%3AMK0010%2Cm%3A1%2Bt%3A1%2Cm%3A0+t%3A5%2Cm%3A1%2Bs%3A3%2Cm%3A0%2Bt%3A5%2Cm%3A2&fields=f3%2Cf12%2Cf13 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))) | akshare.stock_zh_index_daily_em failed: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?secid=0.399006&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58&klt=101&fqt=0&beg=20190101&end=20260516 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"
000932,中证主要消费,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,True,2019-01-01,2026-05-15,1785,2026-05-15,0,,0,0,0,ok,True,False,,
000300,沪深300,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,True,2019-01-01,2026-05-15,1785,2026-05-15,0,,0,0,0,ok,True,False,,
000905,中证500,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,True,2019-01-01,2026-05-15,1785,2026-05-15,0,,0,0,0,ok,True,False,,
000015,上证红利,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,True,2019-01-01,2026-05-15,1785,2026-05-15,0,,0,0,0,ok,True,False,,
000852,中证1000,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,True,2019-01-01,2026-05-15,1785,2026-05-15,0,,0,0,0,ok,True,False,,
931865,中证全指半导体产品与设备,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,False,2019-01-01,2026-05-15,1785,2026-05-15,0,,1137,0,0,failed,False,True,missing values,
399975,中证全指证券公司,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,True,2019-01-01,2026-05-15,1785,2026-05-15,0,,0,0,0,ok,True,False,,
000688,科创50,akshare.stock_zh_index_hist_csindex,akshare.stock_zh_index_hist_csindex,csindex,True,False,2019-01-01,2026-05-15,1542,2026-05-15,0,,14,0,0,failed,False,True,missing values,
